Date,Open,High,Low,Close,Adj Close,Volume
2023-04-06,94.330002,96.080002,93.989998,95.919998,94.472847,9146200
2023-04-10,94.680000,95.110001,93.550003,93.760002,92.732147,8681500
2023-04-11,93.459999,94.129997,93.199997,93.970001,92.939842,8196000
2023-04-12,94.379997,95.320000,93.599998,93.900002,92.870605,8040300
2023-04-13,94.180000,95.750000,93.940002,95.550003,94.502518,6240200
2023-04-14,95.500000,95.989998,94.680000,95.709999,94.660767,6485100
2023-04-17,95.639999,95.989998,95.309998,95.589996,94.542076,4772400
2023-04-18,96.000000,96.739998,95.769997,96.470001,95.412430,7219400
2023-04-19,95.589996,96.470001,95.589996,95.809998,94.759659,4766200
2023-04-20,96.000000,96.150002,94.599998,94.830002,93.790405,5815500
2023-04-21,95.010002,95.309998,94.260002,95.150002,94.106903,7335800
2023-04-24,95.339996,96.080002,94.970001,95.440002,94.393730,4901700
2023-04-25,95.139999,95.699997,94.019997,94.059998,93.028839,5768800
2023-04-26,93.750000,94.809998,93.339996,93.709999,92.682686,6395500
2023-04-27,94.309998,95.089996,93.290001,95.040001,93.998108,5615700
